Dato,Skole ,Elevdag ,SFOdag ,Kommentar 
30.03.2017,Solås skole ,Ja,Ja,1
31.03.2017,Solås skole ,Ja,Ja,1
01.04.2017,Solås skole ,Nei,Nei,Lørdag 
02.04.2017,Solås skole ,Nei,Nei,Søndag 
03.04.2017,Solås skole ,Ja,Ja,1
04.04.2017,Solås skole ,Ja,Ja,1
05.04.2017,Solås skole ,Ja,Ja,1
06.04.2017,Solås skole ,Ja,Ja,1
07.04.2017,Solås skole ,Ja,Ja,1
08.04.2017,Solås skole ,Nei,Nei,Lørdag 
09.04.2017,Solås skole ,Nei,Nei,Søndag 
10.04.2017,Solås skole ,Nei,Ja,Påskeferie 
11.04.2017,Solås skole ,Nei,Ja,Påskeferie 
12.04.2017,Solås skole ,Nei,nei,Påskeferie 
13.04.2017,Solås skole ,Nei,Nei,Påskeferie/helligdag 
14.04.2017,Solås skole ,Nei,Nei,Påskeferie/helligdag 
15.04.2017,Solås skole ,Nei,Nei,Lørdag 
16.04.2017,Solås skole ,Nei,Nei,Søndag 
17.04.2017,Solås skole ,Nei,Nei,Påskeferie/helligdag 
18.04.2017,Solås skole ,Ja,ja,1
19.04.2017,Solås skole ,Ja,ja,1
20.04.2017,Solås skole ,Ja,ja,1
21.04.2017,Solås skole ,Ja,ja,1
22.04.2017,Solås skole ,Nei,Nei,Lørdag 
23.04.2017,Solås skole ,Nei,Nei,Søndag 
24.04.2017,Solås skole ,Ja,ja,1
25.04.2017,Solås skole ,Ja,ja,1
26.04.2017,Solås skole ,Ja,ja,1
27.04.2017,Solås skole ,Nei,Nei,Planleggingsdag 
28.04.2017,Solås skole ,Nei,Nei,Planleggingsdag 
29.04.2017,Solås skole ,Nei,Nei,Lørdag 
30.04.2017,Solås skole ,Nei,Nei,Søndag 
01.05.2017,Solås skole ,Nei ,Nei,Off. fridag 
02.05.2017,Solås skole ,Ja,ja,1
03.05.2017,Solås skole ,Ja,ja,1
04.05.2017,Solås skole ,Ja,ja,1
05.05.2017,Solås skole ,Ja,ja,1
06.05.2017,Solås skole ,Nei,Nei,Lørdag 
07.05.2017,Solås skole ,Nei,Nei,Søndag 
08.05.2017,Solås skole ,Ja,Ja,1
09.05.2017,Solås skole ,Ja,Ja,1
10.05.2017,Solås skole ,Ja,Ja,1
11.05.2017,Solås skole ,Ja,Ja,1
12.05.2017,Solås skole ,Ja,Ja,1
